Gene,HLA 49:36,HLA 81:95,HLA 34:45,HLA 92:44,HLA 70:22,HLA 84:40,HLA 91:85,HLA 47:96,HLA 56:71,HLA 85:65,HLA 58:16,HLA 49:92,HLA 16:79,HLA 60:88,HLA 14:97,HLA 24:67,HLA 85:10,HLA 48:15,HLA 32:42,HLA 29:23,HLA 14:63,HLA 42:82,HLA 59:82,HLA 49:79,HLA 47:76,HLA 33:45,HLA 11:91,HLA 42:37,HLA 61:81,HLA 34:64,HLA 73:75,HLA 15:92,HLA 66:30,HLA 28:82,HLA 33:63,HLA 39:23,HLA 92:79,HLA 83:24,HLA 10:68,HLA 99:13,HLA 40:96,HLA 16:86,HLA 29:26,HLA 45:47,HLA 61:42,HLA 65:75,HLA 97:48,HLA 79:98,HLA 99:99,HLA 47:82,HLA 34:39,HLA 68:84,HLA 50:80,HLA 59:97,HLA 46:38,HLA 66:40,HLA 40:80,HLA 74:47,HLA 10:56,HLA 61:93,HLA 57:10,HLA 82:90,HLA 13:70,HLA 75:79,HLA 54:91,HLA 72:80,HLA 76:69,HLA 57:26,HLA 74:99,HLA 55:40,HLA 36:82,HLA 12:49,HLA 94:80,HLA 32:66,HLA 74:33,HLA 77:11,HLA 49:67,HLA 40:46,HLA 57:43,HLA 57:56,HLA 64:15,HLA 93:54,HLA 69:14,HLA 80:82,HLA 89:41,HLA 21:78,HLA 32:10,HLA 13:48,HLA 16:80,HLA 38:61
RRM2,71,25,59,69,94,70,38,34,8,93,74,25,5,42,52,21,64,91,60,90,39,14,42,97,58,10,82,15,92,5,29,79,32,10,32,59,75,82,57,65,13,42,97,39,88,98,53,67,44,16,32,21,87,88,39,82,56,42,83,52,17,16,54,87,99,82,27,7,68,39,9,97,59,81,70,40,15,49,88,77,73,68,85,60,17,40,14,64,69,79
RRN3P2,20,70,26,78,62,75,42,87,46,55,92,90,34,76,93,93,53,86,56,10,68,15,13,44,79,74,68,19,20,71,5,31,10,59,76,36,26,92,21,88,55,26,89,56,25,43,14,45,63,21,18,23,71,7,51,87,68,99,30,27,80,74,60,86,26,65,69,38,83,25,23,34,21,81,19,23,6,2,95,91,66,92,57,84,27,99,38,31,11,36
RRP7B,77,86,9,20,6,85,18,22,9,48,44,85,13,85,17,17,41,69,46,90,79,79,46,24,13,57,42,65,59,90,16,12,70,11,34,77,9,41,68,26,13,52,19,23,52,45,44,97,33,7,49,57,21,7,27,28,77,85,6,3,99,16,70,65,40,33,84,35,72,40,21,36,60,46,95,55,41,66,32,2,20,47,87,18,77,39,43,5,48,74
RSPH10B2,32,69,6,91,12,85,46,45,83,6,32,4,71,90,59,81,17,75,76,54,27,49,96,80,1,60,35,10,86,58,43,62,45,13,23,27,7,10,97,4,4,27,62,2,83,84,92,98,84,46,57,13,75,89,60,55,92,49,76,77,38,67,88,4,71,87,13,25,95,25,18,78,13,13,77,82,14,41,28,97,11,23,42,39,62,3,68,73,97,79
RSPH6A,46,94,79,53,68,57,13,88,4,33,1,69,25,71,90,13,45,52,58,87,64,34,16,10,27,86,50,85,88,21,53,13,78,48,2,14,32,86,75,12,70,82,2,96,93,7,69,44,35,23,69,31,27,92,17,65,70,2,66,49,98,68,28,62,21,19,49,66,77,11,27,26,99,70,18,66,23,27,79,87,86,70,65,69,31,63,10,2,13,41
RSPO4,8,73,23,90,95,43,21,28,96,69,16,15,69,63,54,87,97,91,83,53,2,68,33,86,48,44,43,17,21,86,59,98,6,11,66,57,99,14,66,61,84,38,21,44,22,57,17,66,7,19,91,45,70,52,80,32,49,91,12,67,25,57,12,80,3,87,33,77,50,17,10,73,28,22,73,23,52,68,69,45,58,45,85,58,98,72,64,57,65,19
RTKN2,73,48,29,9,98,63,55,76,22,75,11,23,14,44,59,93,95,2,98,81,68,82,93,61,40,76,66,84,67,32,58,17,63,78,78,79,34,91,12,66,40,27,4,29,12,91,21,26,56,39,10,66,78,25,70,70,85,73,90,97,18,91,6,94,90,88,52,45,5,73,90,75,5,41,24,65,40,58,13,84,32,88,91,72,41,67,98,62,85,51
RTL1,64,53,17,29,29,86,14,35,81,6,9,80,21,85,3,73,90,73,57,75,30,62,90,56,36,92,15,29,23,4,29,48,57,90,62,37,78,37,89,38,97,76,76,31,45,34,4,78,75,34,2,99,95,64,92,8,20,28,33,77,18,1,62,30,87,88,86,68,34,95,91,51,9,5,11,99,83,50,86,81,35,14,14,95,88,4,28,24,5,29
RTN4IP1,83,90,87,75,67,27,54,41,89,59,99,51,25,78,5,28,92,13,8,30,85,43,92,23,73,6,62,40,56,81,6,52,62,31,11,29,96,76,99,62,94,14,37,57,39,30,40,81,47,98,82,35,54,56,34,40,57,84,8,68,18,62,14,70,93,79,26,87,21,68,37,34,75,83,47,21,74,88,40,27,4,11,84,56,92,66,11,36,8,22
RTN4R,97,48,10,33,99,11,75,27,79,43,73,81,51,98,26,84,36,85,20,2,40,66,67,97,74,69,15,92,61,36,45,34,56,56,5,56,47,38,37,62,55,13,76,93,87,12,25,16,54,29,96,43,98,7,52,72,2,28,27,17,78,31,80,13,97,90,63,53,14,59,36,89,48,18,14,95,75,15,13,36,56,81,77,32,56,20,19,85,70,81
RTN4RL2,24,31,67,73,13,97,68,17,94,81,62,2,65,32,81,51,27,30,77,85,33,9,68,85,30,10,54,56,60,85,94,90,3,74,18,80,45,24,75,96,65,59,64,21,3,80,44,67,39,39,84,76,24,50,25,34,19,84,96,96,98,54,44,28,28,17,47,65,34,7,24,85,8,73,5,88,97,54,40,15,79,63,15,48,51,85,75,28,80,84
RTP2,51,74,78,1,44,21,65,77,38,25,30,74,13,83,93,31,40,13,47,3,14,89,98,30,13,66,46,21,27,46,54,52,36,53,53,47,38,94,46,5,64,6,66,70,78,53,33,25,45,20,37,4,49,40,87,78,96,19,98,95,65,15,52,12,3,24,91,23,18,10,71,97,30,24,2,76,31,31,32,17,36,20,10,45,57,76,30,94,97,41
RTP4,78,73,22,86,49,63,96,32,12,2,72,83,6,16,55,81,88,15,12,63,87,16,9,7,88,49,79,68,61,8,85,67,33,48,38,4,22,4,29,44,2,62,23,27,89,18,94,36,84,22,7,82,68,57,73,74,86,57,74,47,58,96,54,16,85,53,24,22,37,55,5,9,4,14,64,46,97,93,52,26,79,59,86,7,69,32,25,6,64,8
RUFY4,75,90,7,30,48,45,83,7,41,90,43,47,86,48,37,85,9,10,74,65,18,62,21,11,82,52,38,7,63,86,94,82,27,68,54,5,13,90,90,64,9,89,89,16,14,78,5,25,33,79,21,73,79,44,46,31,19,7,88,73,46,68,29,2,93,50,54,51,5,21,14,43,52,87,64,7,41,39,47,93,99,63,30,28,51,80,53,29,67,26
RUNDC3A,41,53,31,69,49,11,99,35,80,30,10,4,3,97,75,11,66,11,83,22,28,84,62,93,9,6,87,23,33,2,90,68,55,39,46,61,57,72,21,46,2,37,24,51,16,40,50,4,40,72,41,99,54,81,92,60,62,81,84,27,49,68,32,24,37,77,82,67,96,46,96,45,67,96,38,95,66,95,20,66,98,73,40,97,43,45,99,11,40,9
RXFP3,74,85,34,12,21,56,94,38,61,1,23,40,29,34,64,15,4,73,4,7,4,93,66,1,77,73,83,34,52,33,88,22,4,60,42,14,29,70,71,8,29,61,50,8,36,18,56,64,2,49,32,50,37,60,41,87,28,4,14,84,45,54,68,79,79,44,50,92,85,76,33,11,31,17,19,26,18,2,49,9,36,57,61,97,5,36,9,93,13,14
RXFP4,92,33,50,78,90,75,97,42,95,78,94,65,41,58,80,79,24,83,9,15,45,82,45,49,68,46,67,22,22,37,79,23,32,44,7,14,67,39,43,37,91,77,42,18,20,8,54,86,63,43,32,63,16,83,74,86,96,34,98,51,65,59,9,54,31,40,69,59,33,88,47,29,6,90,80,43,27,26,40,39,6,7,83,3,33,3,49,18,17,61
RYR1,66,98,34,97,81,72,93,27,13,30,2,83,97,71,82,43,41,4,68,94,68,97,12,46,81,44,56,3,59,99,81,5,65,84,64,99,41,77,79,29,80,5,6,34,10,71,65,56,20,58,94,8,87,35,86,58,66,63,50,50,22,75,17,38,80,90,70,99,95,88,3,2,2,88,19,28,47,59,96,8,58,21,91,53,20,24,14,39,53,45
S100A3,94,59,99,34,51,8,79,11,40,68,92,45,70,11,43,69,13,3,47,94,4,28,54,80,24,45,77,48,60,88,32,92,83,81,39,31,83,75,59,29,67,9,36,12,77,43,34,12,46,15,23,54,61,1,27,42,93,82,58,46,70,55,64,28,77,70,94,19,23,81,29,19,94,14,28,75,30,31,72,63,12,27,98,46,69,14,50,77,23,17
S100A5,31,10,65,92,91,26,97,17,22,18,76,63,56,1,52,59,59,58,52,45,97,43,35,81,18,24,28,94,84,99,3,72,18,72,10,5,37,7,61,44,25,42,57,7,58,7,84,84,89,68,65,82,17,15,52,48,18,69,42,84,46,14,31,67,1,29,53,89,22,31,34,5,20,41,1,89,95,95,93,95,18,55,13,71,13,8,88,19,66,52
S100A7A,2,5,36,18,41,54,21,61,36,4,58,47,74,87,46,45,71,16,28,53,56,54,79,16,86,19,14,11,93,84,72,84,54,77,36,15,12,37,48,22,73,49,73,2,17,49,3,45,90,24,14,62,80,82,88,39,85,44,16,79,90,67,21,28,99,28,15,62,12,99,69,80,40,63,21,22,11,36,87,55,58,22,10,90,19,14,61,6,51,30
S100Z,20,58,99,7,35,20,91,22,75,72,59,98,47,61,54,83,97,78,29,75,57,57,60,98,92,76,7,70,55,39,15,67,63,84,72,1,52,12,65,52,82,6,98,93,5,91,34,8,19,3,53,9,28,22,66,20,47,34,36,78,97,22,10,24,65,24,28,67,93,5,3,24,89,18,79,5,42,81,17,72,19,45,18,26,73,61,27,68,76,10
S1PR5,75,13,90,7,4,88,81,35,98,65,86,87,72,19,44,9,1,76,25,5,74,47,41,82,16,24,23,95,83,22,67,76,88,23,10,19,8,28,73,31,44,85,22,71,38,59,5,74,16,34,12,13,41,44,22,57,55,67,39,55,72,14,6,76,66,33,92,21,94,43,30,54,60,64,46,28,3,78,26,77,30,50,46,8,15,91,62,37,35,62
SAAL1,15,34,60,88,32,65,58,75,46,3,84,81,28,22,57,61,75,98,17,43,45,99,18,34,40,96,72,76,83,72,66,68,49,85,50,28,36,93,36,92,33,5,81,30,60,29,30,74,95,20,62,18,94,38,81,86,79,10,38,10,22,49,63,66,11,6,70,10,85,39,51,5,38,49,1,12,37,29,49,45,4,77,97,11,24,92,35,38,20,22
SAC3D1,14,23,97,89,14,70,8,97,61,36,72,97,70,67,3,92,39,49,29,24,34,83,89,99,79,30,64,17,28,52,9,8,58,2,17,97,84,2,53,94,92,81,73,33,6,62,11,14,76,5,64,15,67,66,60,16,72,18,83,67,7,89,77,33,79,2,12,21,37,77,59,55,23,30,35,8,52,41,63,77,53,79,68,64,1,76,28,50,89,12
SAGE1,95,54,65,26,65,5,11,59,83,59,1,64,76,64,86,17,99,4,85,69,77,89,57,30,59,51,51,68,71,3,2,38,79,34,55,5,51,4,30,81,80,58,43,6,42,18,53,21,64,50,90,75,52,38,92,6,46,38,63,26,97,20,88,68,24,69,11,73,98,81,34,24,96,18,24,72,48,5,56,40,87,29,2,98,87,96,61,60,16,34
SALL4,96,31,87,36,53,43,56,74,83,66,61,59,55,28,83,87,24,60,7,7,82,3,6,13,21,22,93,61,30,78,21,23,63,68,57,15,72,5,87,29,37,87,49,58,19,55,19,63,24,29,18,49,67,24,83,84,77,75,82,64,54,11,35,47,34,93,61,30,87,66,24,86,77,90,73,18,39,94,82,78,33,32,70,40,27,47,26,31,85,11
SAMD10,6,25,57,55,45,35,23,74,74,15,48,14,2,65,66,88,20,47,17,36,62,83,1,50,91,94,88,92,47,45,26,92,78,71,71,69,89,29,86,34,34,90,76,9,69,85,19,7,51,55,42,13,70,80,5,94,5,45,89,13,10,8,48,73,10,49,94,75,56,76,94,85,2,78,62,13,30,23,9,95,44,3,20,79,63,24,69,14,2,47
SAMD14,53,53,65,13,87,46,28,89,94,20,3,31,95,90,50,18,3,76,32,75,60,25,82,31,75,35,61,65,17,97,18,64,87,79,89,39,61,75,50,3,55,93,19,33,96,54,42,98,24,41,60,59,24,27,38,35,91,22,8,15,29,30,84,66,99,65,8,93,14,33,84,81,35,5,59,9,79,60,13,17,23,52,7,16,26,92,22,15,1,70
SAMD7,17,98,25,97,15,74,62,40,17,8,44,51,3,98,36,54,58,33,96,68,28,66,31,46,59,89,64,97,14,53,71,10,90,49,18,75,33,5,40,65,17,42,46,9,54,82,29,48,30,34,72,9,99,23,92,64,51,72,93,95,95,86,53,56,62,95,11,45,41,21,8,32,49,34,52,22,40,37,56,11,19,40,6,99,98,1,2,92,86,5
SASS6,75,76,63,80,85,25,80,99,89,74,77,86,32,94,72,43,78,23,36,51,75,6,76,52,19,67,89,66,69,66,2,30,66,90,50,89,53,44,53,6,76,48,82,26,52,27,15,62,63,91,55,98,60,53,28,14,83,2,79,95,85,74,98,17,42,46,53,46,35,52,77,42,18,42,90,97,62,17,38,60,71,20,80,96,27,89,35,61,33,79
SBK1,34,28,52,13,10,49,41,15,13,11,62,6,52,72,9,51,36,23,13,9,10,76,61,26,47,58,40,11,45,86,30,29,13,90,54,55,84,96,48,56,75,65,75,66,54,83,32,15,27,15,27,39,48,71,41,1,82,77,62,23,1,79,99,49,17,15,2,2,13,22,24,85,83,15,71,65,85,97,31,79,56,15,89,58,16,24,93,20,22,71
SBK2,30,22,82,75,85,43,79,83,78,62,1,22,3,9,57,66,4,94,98,93,88,29,48,16,39,87,82,53,86,64,99,61,15,48,75,86,18,21,69,62,15,29,63,80,96,58,73,84,86,55,54,74,1,40,74,36,46,75,10,64,81,89,92,62,20,43,94,77,1,55,7,91,37,62,20,78,25,30,16,23,48,78,38,75,80,30,31,63,67,94
SCARNA10,87,65,49,61,9,96,30,93,90,95,4,23,67,53,46,34,32,65,91,76,85,8,66,68,5,53,22,77,45,97,46,17,95,85,93,49,67,86,85,56,76,56,92,83,72,88,53,72,18,34,27,95,25,54,92,21,70,98,12,20,97,7,75,9,43,11,9,80,33,37,90,86,8,95,29,77,80,22,37,58,88,11,93,64,10,94,91,47,60,7
SCARNA12,50,87,8,68,41,41,12,41,59,22,73,95,46,64,42,42,84,71,33,65,82,7,83,74,90,55,71,51,58,18,98,3,34,84,54,66,60,89,83,54,82,83,47,58,98,46,87,66,4,55,86,82,78,85,86,42,21,61,28,72,41,30,76,52,49,80,85,47,41,30,98,23,57,62,32,23,85,34,99,16,76,42,67,23,57,22,3,67,80,97
SCARNA15,30,44,87,43,1,11,71,76,10,18,61,43,65,49,80,5,51,89,66,7,89,7,16,98,11,73,71,22,29,98,38,58,97,69,50,49,90,54,47,34,54,93,94,83,50,99,45,42,36,40,94,55,42,34,1,42,85,6,96,16,85,50,29,54,38,4,86,27,79,55,29,70,13,44,55,85,40,98,83,52,31,83,27,27,8,1,3,84,56,72
SCARNA16,11,76,16,98,50,99,74,25,9,22,63,15,96,70,99,70,44,70,15,49,88,67,19,38,54,10,47,56,18,44,88,19,31,58,88,22,97,88,48,49,96,59,85,19,60,81,17,82,40,86,93,41,57,46,51,34,53,87,2,62,28,41,45,50,1,34,74,88,8,30,97,30,89,11,4,1,8,94,78,33,24,4,9,13,66,66,90,73,94,70
SCARNA2,43,97,47,30,40,5,63,19,62,40,45,66,31,2,21,65,4,41,44,64,72,33,17,82,24,48,57,17,97,58,30,92,47,46,57,31,89,20,99,5,10,58,62,19,78,43,13,46,66,22,50,97,5,17,51,1,44,27,17,94,57,74,10,10,27,58,5,2,46,75,57,9,40,25,46,95,6,4,18,74,35,58,94,93,29,1,40,89,39,78
SCARNA21,19,88,91,33,24,66,99,18,5,77,40,98,61,95,85,25,19,2,78,74,13,95,62,72,41,32,85,82,38,66,49,64,6,98,70,7,69,24,35,54,13,86,38,13,96,47,15,84,8,74,3,90,65,1,62,37,39,86,89,99,79,31,48,62,62,44,86,83,94,98,12,40,62,15,63,94,99,79,21,23,3,17,72,95,35,18,80,31,70,97
SCARNA22,92,61,16,69,33,68,94,58,41,79,41,57,97,20,83,75,23,88,72,11,17,56,54,64,53,68,32,62,99,77,68,61,66,3,79,86,18,37,67,77,26,3,10,14,38,95,78,45,6,82,1,49,98,77,43,34,31,95,70,48,17,63,5,63,59,95,7,77,73,70,33,40,4,5,85,69,88,92,91,98,12,57,7,84,69,46,22,28,53,8
SCARNA6,74,54,35,60,17,89,86,25,86,4,92,6,1,92,19,8,37,19,75,57,90,69,32,91,96,13,49,91,97,43,8,78,16,71,43,4,17,5,56,28,82,67,25,5,14,60,29,64,13,46,86,65,5,6,97,28,34,20,74,64,34,51,66,8,54,36,52,68,10,91,65,38,40,47,71,78,57,71,21,62,66,13,84,24,51,54,24,58,54,78
SCARNA7,5,75,35,26,22,38,54,92,98,69,59,96,8,61,78,61,12,76,68,90,55,17,20,8,99,43,77,64,57,24,89,7,21,39,2,48,90,48,5,8,59,19,65,5,15,18,59,70,80,29,62,26,28,98,52,38,35,3,1,24,78,12,2,9,90,89,95,70,87,13,52,39,42,91,30,99,31,81,3,31,19,64,78,73,7,11,5,14,17,56
SCARNA8,14,83,24,44,98,11,69,33,27,69,46,7,97,25,16,11,21,10,23,92,56,53,81,53,71,2,60,17,41,44,40,33,85,20,32,53,22,47,35,9,95,76,46,51,40,4,1,12,6,5,11,22,73,2,80,53,34,35,57,12,26,57,98,45,49,60,64,98,99,11,8,76,52,45,88,90,13,33,32,18,44,36,68,76,39,39,75,19,67,21
SCARNA9,68,36,65,96,2,31,28,1,47,8,62,21,99,47,57,63,43,20,74,94,75,17,64,84,78,10,86,32,31,92,85,37,59,32,7,75,27,84,88,85,78,5,74,43,78,65,74,35,44,96,53,1,1,3,10,11,34,65,90,95,79,32,99,61,9,67,79,10,59,95,43,26,85,71,64,35,37,69,9,23,8,53,61,1,62,32,73,98,49,24
SCARNA9L,30,35,21,27,3,8,33,48,66,49,46,24,31,82,4,25,86,13,24,44,80,88,83,46,35,46,69,85,94,59,2,32,3,50,6,72,18,46,71,60,87,22,98,52,90,25,61,25,20,62,72,68,42,83,79,74,23,67,65,3,64,8,97,83,73,82,93,35,71,9,44,36,10,80,50,42,95,22,68,78,99,29,28,76,44,50,74,12,27,6
SCGB1D1,86,10,4,11,19,90,7,39,87,56,78,62,35,98,29,22,4,33,31,91,66,97,92,46,63,71,13,21,29,9,47,37,18,41,26,81,21,1,51,85,37,58,91,91,11,54,63,31,99,55,3,85,49,84,92,99,74,99,88,52,32,50,30,57,35,11,76,60,97,83,7,76,2,97,27,66,5,23,98,55,25,6,8,18,80,54,47,85,13,12
SCML2,82,43,19,79,57,22,70,12,35,83,49,10,58,23,30,23,73,10,65,46,98,61,13,85,93,71,3,61,14,64,53,31,64,38,58,6,13,97,20,62,12,11,56,7,7,9,63,51,39,95,90,29,37,77,86,34,88,89,38,2,68,83,60,61,94,43,77,74,3,47,76,13,30,71,14,40,79,70,91,1,87,53,96,31,77,56,35,80,37,42
SCN10A,46,65,78,37,79,53,92,22,98,34,21,75,58,57,50,22,74,83,90,79,39,76,87,26,93,31,86,52,81,3,68,98,42,30,23,88,39,69,93,24,74,22,77,7,48,72,89,79,31,79,39,84,86,62,5,47,85,54,42,24,3,34,66,2,74,81,31,1,55,70,18,73,41,14,84,82,53,32,89,77,19,87,94,39,63,13,2,1,70,32
SCNN1D,44,39,32,30,4,45,36,35,60,48,34,19,60,99,51,34,1,64,6,52,90,80,58,26,2,30,35,16,47,38,57,21,86,93,29,99,66,49,96,14,4,74,11,52,59,24,38,97,86,24,79,3,50,61,83,74,12,73,68,9,69,89,41,32,77,98,43,19,91,8,49,70,15,80,64,35,33,98,11,49,67,38,42,63,60,33,55,51,2,35
SCRT1,18,78,47,73,43,47,54,43,10,22,76,12,5,77,87,41,99,2,23,76,31,61,56,6,43,19,10,71,19,80,79,8,88,51,44,62,15,35,68,39,39,89,81,67,75,79,69,97,87,47,47,84,32,11,16,53,97,84,80,46,90,9,94,36,57,55,59,14,68,85,91,16,37,73,71,21,58,74,36,5,36,63,24,57,81,43,64,94,73,40
SCRT2,34,75,43,32,65,67,84,22,79,28,60,9,49,26,45,3,88,43,20,43,82,67,8,65,60,96,94,74,84,77,22,64,76,98,87,26,93,14,93,6,48,68,56,80,76,23,36,50,30,32,98,1,57,15,74,87,29,18,5,95,30,25,20,55,40,37,16,52,70,27,27,81,27,39,12,7,26,1,65,29,98,21,71,51,38,71,6,45,95,36
SCXB,98,8,43,31,58,1,37,4,50,15,75,26,92,83,78,84,45,46,19,67,88,95,55,39,9,5,71,92,22,69,81,54,82,33,2,68,51,29,84,86,99,34,75,87,65,4,34,62,87,35,67,87,88,14,52,83,6,83,56,80,77,71,37,55,61,50,84,65,81,2,62,56,26,76,43,10,10,35,89,44,10,85,26,25,28,36,95,53,48,97
SDHAP1,58,63,14,82,61,12,33,53,63,54,36,16,44,61,38,6,29,40,51,22,12,13,66,98,89,52,23,37,17,69,60,88,83,2,78,68,27,15,31,89,95,29,28,9,38,25,38,32,77,65,48,92,67,48,57,90,10,81,51,14,95,24,90,78,83,64,35,31,88,79,40,32,58,68,44,86,57,49,88,79,86,16,54,67,73,33,38,35,23,97
SDHAP3,15,91,32,42,10,4,35,94,13,69,53,88,12,40,49,67,64,96,54,78,51,52,34,63,48,4,10,46,99,62,77,98,5,41,41,56,95,7,84,53,6,37,45,73,5,31,5,12,4,99,32,29,47,65,57,52,69,65,83,83,86,10,81,43,29,95,56,85,59,17,6,44,27,32,75,74,52,89,36,80,69,99,33,99,93,93,34,24,73,81
SDS,23,27,66,54,2,87,73,93,9,1,68,60,74,24,10,5,64,43,65,81,13,7,96,84,3,6,42,42,42,69,71,26,38,1,38,49,99,71,70,81,35,45,91,11,14,1,81,48,93,18,74,73,36,32,52,45,39,26,15,16,67,85,26,65,22,28,8,61,5,52,39,34,19,43,71,43,35,68,19,47,59,89,57,54,69,19,89,12,65,64
SEC61A2,70,1,36,59,51,82,74,83,20,40,28,16,62,20,34,75,21,23,67,53,1,31,72,11,30,73,69,70,95,10,42,77,44,48,28,66,69,54,16,33,54,76,51,59,55,14,71,67,49,37,54,24,48,73,25,37,88,99,28,47,67,9,50,96,68,48,86,27,34,19,89,43,61,55,3,27,16,8,18,39,26,95,98,7,80,52,83,75,33,79
SELV,42,61,80,58,54,27,63,35,20,37,28,17,82,69,33,30,2,89,53,52,57,43,62,19,42,36,86,18,90,43,18,68,41,57,58,86,73,27,44,91,65,30,53,40,36,17,88,33,10,12,80,40,70,29,54,12,19,13,24,50,49,38,94,69,24,14,30,61,85,4,21,20,75,50,53,82,41,23,38,62,49,36,15,78,71,17,32,37,64,78
SEMA5B,19,41,17,44,33,6,13,81,35,73,6,5,10,46,21,39,19,27,50,15,32,69,94,49,61,5,43,90,68,84,59,39,59,64,82,84,45,82,98,23,30,83,77,68,17,51,21,31,20,64,73,93,75,64,99,24,36,67,3,23,21,84,84,79,19,23,84,32,47,6,20,56,42,82,13,50,39,55,69,84,58,32,50,92,2,64,11,79,25,19
SEPT12,12,39,2,92,87,66,2,97,28,70,16,67,70,97,29,97,38,49,1,86,19,2,80,55,58,11,80,8,6,91,42,60,21,29,80,63,13,76,79,46,2,56,75,96,12,89,80,10,48,71,21,78,34,72,82,19,32,72,32,33,36,48,42,31,10,82,35,40,73,47,13,2,17,55,3,21,64,13,25,10,50,27,48,96,32,74,22,94,18,73
SEPT14,76,15,43,81,46,7,12,82,72,13,6,35,50,13,66,49,16,22,43,36,60,96,15,7,20,81,25,36,15,95,51,52,75,88,53,81,78,10,51,42,91,69,75,17,58,96,38,75,52,95,59,24,99,14,40,69,82,69,96,23,87,64,89,89,18,32,20,41,26,69,58,99,42,98,69,35,99,53,12,31,13,46,56,70,45,26,61,66,93,12
SEPT3,60,10,60,13,76,88,31,17,30,86,49,17,4,56,20,87,33,24,66,73,65,46,78,78,43,14,95,68,3,16,70,54,82,83,14,83,69,45,75,37,81,76,97,98,84,35,55,56,81,91,19,69,71,3,56,80,26,22,70,55,15,77,7,5,17,17,63,93,48,24,92,63,3,39,90,71,97,58,58,31,53,32,46,1,42,79,72,2,21,23
SEPT7P2,71,92,52,12,66,86,48,58,57,40,10,24,78,84,10,58,22,70,38,32,2,69,82,74,76,72,2,86,25,59,9,18,16,74,64,19,79,16,17,6,64,1,41,33,67,95,62,50,70,53,84,4,68,59,67,2,11,42,67,1,97,82,35,78,65,71,43,1,29,24,47,99,82,34,46,87,19,52,30,21,84,52,94,48,48,10,57,84,56,14
SERHL,44,89,16,49,51,30,65,22,30,36,81,15,15,17,97,77,20,1,99,64,90,78,12,18,90,96,80,57,2,81,80,96,67,92,33,19,86,93,3,28,38,73,91,13,77,55,43,34,75,96,94,12,93,33,24,69,11,78,24,50,19,77,60,36,39,71,69,74,65,30,29,64,67,13,95,96,51,71,18,26,97,57,13,69,5,65,97,80,71,11
SERINC4,71,77,23,98,74,65,9,82,28,24,16,28,51,12,14,13,40,72,28,14,97,65,69,45,47,99,44,3,38,48,30,36,86,2,3,55,12,9,30,60,46,5,11,9,42,25,92,89,74,57,76,72,39,89,50,88,62,15,62,41,62,43,57,21,81,54,70,14,96,21,48,92,55,89,25,16,9,67,90,32,95,97,27,51,55,64,80,1,71,19
SERPINB10,93,29,16,52,77,40,2,3,70,27,29,16,96,40,97,4,61,49,44,97,11,12,2,58,85,43,4,22,88,30,54,92,40,21,54,4,51,16,17,16,48,96,60,26,85,65,14,17,68,92,94,62,71,11,12,12,1,91,38,41,4,22,77,83,57,46,57,13,60,34,32,19,48,57,48,80,28,11,52,6,36,73,8,86,43,2,40,21,22,94
SERPINE3,55,7,83,90,55,33,28,49,87,78,80,74,87,14,48,43,62,91,88,52,97,35,5,80,74,99,42,59,27,20,62,26,17,59,12,13,60,36,87,86,99,75,83,59,59,65,70,31,34,81,98,44,97,79,54,85,19,78,12,7,11,49,22,71,97,95,91,88,80,34,77,50,58,22,20,67,32,81,36,36,26,84,43,23,88,61,37,4,64,4
SEZ6,69,56,12,62,78,99,89,58,28,19,98,39,52,94,34,95,21,82,54,76,23,84,39,27,81,38,35,82,88,28,91,34,51,34,98,61,25,49,4,50,62,20,86,66,73,71,3,39,15,43,20,67,17,17,73,67,39,2,34,21,97,13,79,20,63,96,87,67,82,50,90,7,47,75,37,98,49,81,44,7,35,76,75,51,79,8,78,1,56,64
SEZ6L,43,95,74,21,69,38,12,70,36,56,96,17,22,99,42,92,99,94,47,17,91,71,74,62,86,80,86,28,59,32,20,79,16,22,51,27,23,63,31,32,41,18,63,25,65,71,63,45,24,94,45,30,81,88,27,52,95,20,95,83,23,42,34,46,36,29,38,3,11,18,34,93,25,71,13,19,1,68,6,82,2,40,4,85,55,88,96,4,29,25
SFRS13B,89,16,27,3,11,53,97,30,9,51,11,77,64,61,16,78,30,35,72,87,24,74,93,27,47,22,49,24,96,9,63,12,23,63,39,63,19,40,21,3,26,90,76,72,52,43,96,84,97,33,98,30,75,37,29,4,92,77,49,54,11,24,52,63,51,64,86,80,3,29,53,78,59,71,6,78,43,21,14,50,74,70,59,31,50,81,92,12,73,20
SFTA1P,8,96,79,96,53,87,5,89,45,80,72,42,48,86,21,6,29,7,88,52,70,81,22,11,41,41,12,98,74,99,76,70,35,97,64,53,42,73,95,69,87,62,13,31,9,27,2,61,89,64,45,83,4,62,40,64,67,76,68,87,8,25,23,30,1,22,78,94,4,39,59,32,47,65,84,91,31,9,33,30,10,65,45,75,31,35,83,69,89,87
SGK196,67,46,39,88,1,93,23,26,81,14,91,34,85,85,86,96,47,31,91,6,21,96,90,9,95,85,24,75,72,17,67,24,72,27,96,44,16,48,63,50,19,40,32,94,90,63,48,27,21,13,83,70,48,21,76,13,10,9,35,34,42,45,13,78,86,71,3,61,84,14,22,14,79,24,38,12,14,51,28,25,37,5,81,27,19,98,66,25,77,3
